     HEAD~0	0477866 containsKey
     HEAD~1	7890894 removed jsonsize
     HEAD~2	e542fd9 no longer using DynamicJsonDocument
     HEAD~3	619b934 beep fixed !
     HEAD~4	3cfe7eb WIP
     HEAD~5	72b58d7 Updating to boards library 3.0
     HEAD~6	6bced2e migrate to board libs 3.0
     HEAD~7	af7de4d updated ansible stuff
     HEAD~8	767b9e8 Update jsonhost.yaml
     HEAD~9	dbcf0e7 esp32 board fw update, html fix
    HEAD~10	cb4bff7 HASS stuff
    HEAD~11	57f0b29 Merge branch 'master' of https://github.com/jacob-jarick/esp-solar-contoller
    HEAD~12	f5a5de1 more automation
    HEAD~13	b6dcd12 expose pin mode in api
    HEAD~14	d88c020 Update configuration.yaml
    HEAD~15	5f34a1a Update configuration.yaml
    HEAD~16	f50d760 Create JSONPath Expression Tester.url
    HEAD~17	27d5b2b Update configuration.yaml
    HEAD~18	b6071d5 added switch for HASS
    HEAD~19	deb101d home automation stuff
