     HEAD~0	5e0f767 fw 247
     HEAD~1	b0f0eb2 fw 247
     HEAD~2	ea16029 number formatting
     HEAD~3	852ec10 245
     HEAD~4	4d4d63e fw 244
     HEAD~5	8135f07 3phase/single phase updates
     HEAD~6	4b0892e fw number bump
     HEAD~7	2457fa2 added new oled display mode
     HEAD~8	a02e82f fixes, single phase updates.
     HEAD~9	01406e4 calc_energy_usage
    HEAD~10	53cca64 web formatting
    HEAD~11	d98ca7a html download debug
    HEAD~12	2dbaf85 cv.txt
    HEAD~13	4caf0df JSON config pretty print.
    HEAD~14	1d2b276 pub URL
    HEAD~15	eda49b1 pub url on github
    HEAD~16	e5451bb fw 242
    HEAD~17	e91e40b fw 232
    HEAD~18	87ceec9 fix ads1115 setup
    HEAD~19	eb27bd1 FW 229
